fecha,simbolo,spot,gex_neto,gex_calls,gex_puts,gamma_flip,regimen,dist_flip_pct,n_contratos,oi_total,call_wall,call_wall_gex,put_wall,put_wall_gex,proximo_opex,dias_a_opex,opex_trimestral,pre_opex,ventana_debilidad
2026-09-08,QQQ,718.3599853515625,-3094118296.228134,8154610493.573363,-11248728789.801497,718.9844049462272,indefinido,-0.086922936605259,3324,5420839,720.0,811638406.7327255,718.0,-1632510193.460981,2026-09-18,10,True,False,False
2026-09-08,SPY,765.9600219726562,-10473848706.344225,11946102849.848717,-22419951556.19294,770.2990387869644,negativo,-0.5664808462370423,3639,9660777,770.0,957347590.82619,760.0,-3008413889.621789,2026-09-18,10,True,False,False
2026-09-09,QQQ,716.3099975585938,-4048017816.667372,7547848384.134112,-11595866200.801483,719.2428323966149,negativo,-0.4094365355805611,3112,5467440,720.0,721113771.8976121,700.0,-1176753609.7447362,2026-09-18,9,True,False,False
2026-09-09,SPY,762.4000244140625,-9523179511.95053,11474749296.156794,-20997928808.107323,767.0240142502174,negativo,-0.6065044186886872,3378,9779979,770.0,828911693.7312328,760.0,-3864243882.433306,2026-09-18,9,True,False,False
2026-09-14,QQQ,709.1799926757812,-5775341998.603142,6459993124.491514,-12235335123.094654,715.7508428433788,negativo,-0.9265419548576528,3650,5433715,710.0,874352427.6704459,700.0,-1888465998.043943,2026-09-18,4,True,True,False
2026-09-14,SPY,760.8800048828125,-16875729542.81124,10725968775.8756,-27601698318.686844,767.2848427331857,negativo,-0.8417671392691679,3896,10205538,765.0,834759460.5808032,760.0,-6152186734.822492,2026-09-18,4,True,True,False
2026-09-15,QQQ,704.5399780273438,-6274715859.773567,6611534161.753253,-12886250021.52682,713.439275768709,negativo,-1.2631359495429269,3731,5706530,710.0,772523809.2900773,700.0,-2622740934.1932817,2026-09-18,3,True,True,False
2026-09-15,SPY,757.3900146484375,-12651725789.4337,11550760197.500809,-24202485986.93451,764.8407585067266,negativo,-0.9837393831693932,4147,11112060,760.0,902505884.29177,750.0,-2905056746.117239,2026-09-18,3,True,True,False
2026-09-16,SPY,754.0499877929688,-18608668412.377502,11061036321.551577,-29669704733.92908,764.6810200223626,negativo,-1.4098577549891482,3997,11540927,760.0,972473863.4042788,750.0,-3367139477.645178,2026-09-18,2,True,True,False
2026-09-16,QQQ,704.719970703125,-7259433800.828808,8565313448.595484,-15824747249.424294,712.6307743672144,negativo,-1.1225456909070524,3599,5889663,705.0,1396280889.3177016,700.0,-2824355989.8021665,2026-09-18,2,True,True,False
2026-09-17,SPY,762.5999755859375,-5888072836.719464,15455694810.5272,-21343767647.246662,764.1560024448283,indefinido,-0.2040423431295398,3794,11765110,765.0,2346665766.007376,760.0,-3521030903.0458965,2026-09-18,1,True,True,False
2026-09-17,QQQ,716.9199829101562,1037088319.4982944,10238681092.74624,-9201592773.247944,716.11452215079,indefinido,0.1123501616033499,3326,5811298,720.0,1924419294.215551,715.0,-913475722.336536,2026-09-18,1,True,True,False
2026-09-18,SPY,761.6900024414062,-1053781635.6574584,16830497232.902077,-17884278868.559532,761.8443210053694,indefinido,-0.0202600222490084,3220,11454855,762.0,2238857745.3675804,760.0,-2631851896.5526752,2026-09-18,0,True,True,False
2026-09-18,QQQ,721.4500122070312,5824964302.340168,12976341256.995594,-7151376954.655428,719.7731516349761,indefinido,0.2324292111279286,3151,5938609,722.0,1247396537.209164,715.0,-644880159.8214806,2026-09-18,0,True,True,False
2026-09-22,SPY,773.3800048828125,8706157473.724087,25792296542.808136,-17086139069.084047,771.7245486928348,indefinido,0.2140546923279401,3338,7850822,774.0,3740407866.532798,773.0,-3799707376.826547,2026-10-16,24,False,False,True
2026-09-22,QQQ,747.4600219726562,8755392541.387882,12885747430.519636,-4130354889.131753,738.3570679512801,positivo,1.2178516246731328,3119,4090114,748.0,5102716246.585284,730.0,-446887595.9481941,2026-10-16,24,False,False,True
2026-09-23,SPY,767.8099975585938,-8232116678.870057,14639895098.169434,-22872011777.03949,770.8859890337679,negativo,-0.4006188360342956,3444,7913904,772.0,1429736944.4715068,767.0,-1820608999.0576944,2026-10-16,23,False,False,True
2026-09-23,QQQ,741.2100219726562,-3595432872.432187,7771669959.437189,-11367102831.869375,743.9735587280676,negativo,-0.3728412559852416,3496,4364636,760.0,653205003.314224,740.0,-1524732852.3697906,2026-10-16,23,False,False,True
2026-09-24,SPY,767.1799926757812,-4593397118.77663,16525346751.608599,-21118743870.385227,767.7012053644617,indefinido,-0.06793877494934586,3120,8119830,770.0,1639540492.3265822,767.0,-2276299487.585596,2026-10-16,22,False,False,True
2026-09-24,QQQ,741.0999755859375,-105435109.59514523,11371541368.929476,-11476976478.524622,741.1211565999881,indefinido,-0.002858050836377305,3538,4849829,745.0,1115242807.6730702,740.0,-1472396402.901383,2026-10-16,22,False,False,True
